code_du_departement;libelle_du_departement;code_de_la_circonscription;inscrits;votants;exprimes;blancs_et_nuls;nuance;voix;nuance_2;voix_2;nuance_3;voix_3;annee
2;;02001;72483;33737;31266;2300;RN;17049;;;;;2022
2;;02002;73189;31842;30021;1800;LR;17463;;;;;2022
2;;02003;66718;36693;28421;1600;NUP;15612;;;;;2022
2;;02004;78778;33329;30774;2600;RN;17587;;;;;2022
2;;02005;83139;38118;32992;5100;RN;20589;;;;;2022
80;;80005;81347;39310;34314;5000;RN;20861;;;;;2022
62;;62005;90116;37500;33616;4000;REM;20515;;;;;2017
80;;80005;80450;41076;39934;1100;UDI;21505;;;;;2017
2;;02001;72055;47087;45469;1700;RN;24774;;;;;2024
2;;02002;73181;46620;45342;1300;LR;22933;;;;;2024
2;;02003;65988;42340;40901;1500;EXD;23577;;;;;2024
2;;02004;78936;48473;47081;1400;RN;25913;;;;;2024
2;;02005;82511;53911;52139;1800;RN;27670;;;;;2024
59;;59003;91620;54622;52876;1800;RN;26874;;;;;2024
59;;59012;93070;59437;57664;1700;RN;31567;;;;;2024
59;;59018;90821;57411;55998;1400;RN;29404;;;;;2024
59;;59020;82190;48511;47419;1000;RN;23852;;;;;2024
60;;60002;89305;59824;57933;1900;RN;30823;;;;;2024
62;;62001;105247;73678;71668;2000;RN;38265;;;;;2024
62;;62003;83041;49340;48089;900;RN;25200;;;;;2024
62;;62006;94643;66014;64202;1800;RN;32553;;;;;2024
62;;62010;89095;55377;53672;1700;RN;32530;;;;;2024
62;;62011;94166;58134;56308;1900;RN;32681;;;;;2024
62;;62012;96789;59439;57302;2100;RN;33944;;;;;2024
80;;80005;81191;53938;52306;1750;RN;29281;;;;;2024
